NOME;CIDADE;EMAIL ;CONTATO DE REFERENCIA ;TELEFONE
AMBULATÓRIO DE ESPECIALIDADES ITACY ;COLINA;smsaude.colina@gmail.com;ROGERIA ADRIANA; (17) 3341-8883
AMBULATÓRIO DE SAÚDE MENTAL ;CAJURU;saudementalcaju@yahoo.com;CAUANA DO C. CARDOSO;(16) 36676174
AMBULATÓRIO DE SAÚDE MENTAL ;JARDINÓPOLIS;saudemental@jardinopolis.sp.gov.br;LILIAN DE CARVALHO MARQUES;(16) 99701444
AMBULATÓRIO DE SAÚDE MENTAL - FARTURA;FARTURA;sersaude.fartura@gmail.com;ADRIANE;(43) 996447768/(14) 33089409/(14) 33089423
AMBULATÓRIO DE SAÚDE MENTAL - IPUÃ;IPUÃ;ssocial@ipua.sp.gov.br;DÉBORA;(16) 38320193
AMBULATÓRIO DE SAUDE MENTAL - ITAQUAQUECETUBA;ITAQUAQUECETUBA;saudementalitaqua@yahoo.com.br;ALINE - ASSISTENTE SOCIAL;(11) 96480482
AMBULATÓRIO DE SAÚDE MENTAL - SANTA ISABEL;SANTA ISABEL;saudementalct@gmail.com;RENATA AMARAL;(11) 46561906
AMBULATÓRIO DE SAÚDE MENTAL DE ARUJÁ;ARUJÁ SP;saudemental@aruja.sp.gov.br;ROBERTO BEZERRA;(11) 46551272
AMBULATÓRIO DE SAÚDE MENTAL DE PIRAJU;PIRAJU;saudemental@estanciadepiraju.sp.gov.br;LUCIANA VENDRAMETO;(14) 33059199/(14) 997294630
AMBULATÓRIO DE SAÚDE MENTAL DE RIBEIRÃO CORRENTE;RIBEIRÃO CORRENTE;saude@ribeiraocorrente.sp.gov.br;THAYENE DEISE DE ARAUJO MARTINS ;(16) 991184258/(16) 37491121
AMBULATÓRIO DE SAÚDE MENTAL DE SÃO MANUEL;SÃO MANUEL SP;saude.mental@saomanuel.sp.gov.br;MÁRIO;(14) 38415329
AMBULATÓRIO DE SAÚDE MENTAL DE SÃO ROQUE;SÃO ROQUE SP;ssmental@saoroque.sp.gov.br;MARIA SONIA DOS SANTOS SILVA;(11) 47122500
AMBULATÓRIO DE SAÚDE MENTAL DEUSDEDITH MEGA ;SERRANA;saude.mental.serrana@gmail.com;KELLY APARECIDA PIRES;(16) 981440124/(16) 34892854
AMBULATÓRIO DE SAÚDE MENTAL DR LAZARO MESSIAS ;PALMITAL;cssaudemental@palmital.sp.gov.br;BRUNA ZANONI COORDENADORA ;(18) 33513473/ (43) 999315274
AMBULATORIO DE SAÚDE MENTAL PIRATININGA;PIRATININGA;saudemental.piratininga@gmail.com; LINETE RUBIN - ENFERMEIRA;(14)32652135/(14) 99628208
AMBULATÓRIO DE SAÚDE MENTAL;PIRACICABA;adm.capsad.pira@gmail.com; NATALIA VIEIRA - TO;(19) 34116520
AMBULATÓRIO DE SAÚDE MENTAL/NÚCLEO AD ITÚ;ITÚ;saudementalitu@gmail.com;LUCIMAR CANDEIA CAMARGO;(11) 40133448/(11) 950510308
