Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2024-10-31;RECIBO;Custeio;Despesas de Viagem;156,06;2024-11-01
2024-11-01;BOLETO;Custeio;Internet;144,80;2024-11-25
2024-11-03;BOLETO;Custeio;Internet;149,99;2024-11-07
2024-11-04;434;Custeio;Infraestrutura de imóvel;378,25;2024-11-04
2024-11-05;098.400;Custeio;Infraestrutura de imóvel;733,40;2024-11-05
2024-11-05;659;Custeio;Infraestrutura de imóvel;33.000,00;2024-11-07
2024-11-06;26.757;Custeio;Combustível;203,44;2024-11-06
2024-11-06;010565;Custeio;Gêneros alimentícios;5.166,26;2024-11-06
2024-11-06;010566;Custeio;Higiene e Limpeza;598,01;2024-11-06
2024-11-06;098422;Custeio;Infraestrutura de imóvel;172,90;2024-11-06
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;265,20;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;193,80;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;193,80;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;310,80;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;310,80;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;193,80;2024-11-07
2024-11-07;44921;Custeio;Livros, revistas e jogos educativos;1.861,00;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;193,80;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;193,80;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;193,80;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;163,80;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;153,00;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;153,00;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;261,00;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;265,20;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;183,60;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;153,00;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Férias;1.017,14;2024-11-08
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;167,20;2024-11-07
2024-11-07;RECIBO;Recursos Humanos;Vale Transporte;193,80;2024-11-07
2024-11-08;98547;Custeio;Infraestrutura de imóvel;851,23;2024-11-08
2024-11-08;126562;Custeio;Combustível;223,39;2024-11-08
2024-11-08;269.190;Custeio;Infraestrutura de imóvel;140,41;2024-11-08
2024-11-08;49810;Custeio;Higiene e Limpeza;792,40;2024-11-08
2024-11-08;3.263;Custeio;Higiene e Limpeza;2.558,32;2024-11-19
2024-11-08;510.143;Custeio;Gêneros alimentícios;8.904,99;2024-11-08
2024-11-09;2614848;Custeio;Gêneros alimentícios;8.473,08;2024-11-11
2024-11-12;98666;Custeio;Infraestrutura de imóvel;142,69;2024-11-12
2024-11-13;000098706;Custeio;Infraestrutura de imóvel;448,02;2024-11-13
2024-11-13;87840;Custeio;Combustível;280,03;2024-11-13
2024-11-13;000000117;Custeio;Infraestrutura de imóvel;195,00;2024-11-13
2024-11-13;BOLETO;Custeio;Infraestrutura de imóvel;239,80;2024-11-14
2024-11-13;180099;Custeio;Combustível;100,00;2024-11-13
2024-11-13;1331;Custeio;Materiais para Escritório;1.200,00;2024-11-14
2024-11-13;BOLETO;Custeio;Água e Esgoto;497,48;2024-11-28
2024-11-14;2083;Custeio;Infraestrutura de imóvel;205,00;2024-11-14
2024-11-14;27458;Custeio;Materiais para Escritório;89,13;2024-11-14
2024-11-14;332633;Custeio;Materiais para Escritório;1.333,08;2024-11-14
2024-11-14;11265;Custeio;Gás de Cozinha;440,00;2024-11-14
2024-11-14;11263;Custeio;Gás de Cozinha;440,01;2024-11-14
2024-11-14;11264;Custeio;Gás de Cozinha;440,01;2024-11-14
2024-11-16;101544;Custeio;Gêneros alimentícios;894,25;2024-11-25
2024-11-19;BOLETO;Custeio;Internet;223,50;2024-11-25
2024-11-19;BOLETO;Terceiros;Assessoria Contábil;1.700,00;2024-11-28
2024-11-19;163879;Custeio;Combustível;237,45;2024-11-19
