Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$)
2024-09-26;NF 51;Aquisição de bens;Aquisição de bens;34.388,00
2024-10-04;NF 16263468;Aquisição de bens;Aquisição de bens;1.899,05
2024-10-04;NF 35512497;Aquisição de bens;Aquisição de bens;2.097,00
2024-10-07;NF 3891565;Aquisição de bens;Aquisição de bens;199,90
2024-10-07;NF 3891564;Aquisição de bens;Aquisição de bens;199,90
2024-10-08;NF 744955;Aquisição de bens;Aquisição de bens;106,39
2024-10-08;NF 744955;Aquisição de bens;Aquisição de bens;106,39
2024-10-08;NF 101703;Aquisição de bens;Aquisição de bens;239,90
2024-10-08;NF 035533546;Aquisição de bens;Aquisição de bens;2.908,00
2024-10-08;NF 101704;Aquisição de bens;Aquisição de bens;69,90
2024-10-09;NF 155138;Aquisição de bens;Aquisição de bens;324,90
2024-10-15;NF 22113;Aquisição de bens;Aquisição de bens;629,10
2024-10-15;NF 83064;Aquisição de bens;Aquisição de bens;2.719,15
2024-10-16;NF 35575116;Aquisição de bens;Aquisição de bens;625,90
2024-10-18;NF 93513;Aquisição de bens;Aquisição de bens;2.813,80
2024-10-18;NF 93513;Aquisição de bens;Aquisição de bens;2.813,80
2024-10-24;NF 727;Aquisição de bens;Aquisição de bens;564,20
