Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2026-02-02;Vivo n2019632258 Casa Despertar ;Custeio;Internet;124,09;2026-02-13
2026-02-02;NFE 4655 Impressora ;Terceiros;Outros;250,00;2026-02-02
2026-02-02;n2019630666 Casa Acolher;Custeio;Internet;124,09;2026-02-13
2026-02-02;Vivo n2019550028 Casa Cede;Custeio;Internet;140,13;2026-02-13
2026-02-02;Aluguel Transformar;Custeio;Aluguel de Imóvel;3.745,50;2026-02-05
2026-02-02;Aluguel Sede;Custeio;Aluguel de Imóvel;4.815,90;2026-02-05
2026-02-02;Aluguel Despertar;Custeio;Aluguel de Imóvel;5.000,00;2026-02-05
2026-02-02;Aluguel Acolher;Custeio;Aluguel de Imóvel;3.745,70;2026-02-05
2026-02-02;022026-0460446783-vivomovel-fatura ;Custeio;Telefone móvel e fixo;50,93;2026-02-25
2026-02-02;Provisão;Recursos Humanos;Provisão RH;20.490,44;2026-02-24
2026-02-02;Vivo n2019654867 Casa Transformar;Custeio;Internet;124,09;2026-02-13
2026-02-03;NFE7074935 Compre Fácil;Custeio;Higiene e Limpeza;326,89;2026-02-05
2026-02-03;NFE7074934 Compre Fácil;Custeio;Gêneros alimentícios;811,89;2026-02-05
2026-02-03;NFE2792245 Lojas Livias;Custeio;Higiene e Limpeza;1.855,05;2026-02-05
2026-02-03;NFE7108 Porecatu Mercado;Custeio;Gêneros alimentícios;1.751,79;2026-02-05
2026-02-03;NFE422719 Combustivél;Custeio;Combustível;650,00;2026-02-03
2026-02-03; NFE349093 Havan;Custeio;Cama, mesa e banho;6.642,66;2026-02-03
2026-02-03;NFE81412 Planalto;Custeio;Infraestrutura de imóvel;12,00;2026-02-03
2026-02-03;NFE418851 & 424237 Vale transporte trabalhador;Recursos Humanos;Vale Transporte;91,00;2026-02-02
2026-02-04;NFE61 Agiliza cerca elétrica;Custeio;Infraestrutura de imóvel;638,70;2026-02-05
2026-02-04;NFE59 Agiliza Alarme ;Terceiros;Outros;1.600,00;2026-02-05
2026-02-04;NFE 594 Castro Limpeza ;Custeio;Higiene e Limpeza;1.733,40;2026-02-04
2026-02-05;PIS;Recursos Humanos;PIS;521,59;2026-02-11
2026-02-05;INSS;Recursos Humanos;GPS-INSS;18.997,67;2026-02-11
2026-02-05;FGTS;Recursos Humanos;GRF-FGTS;21.704,65;2026-02-11
2026-02-05;NFE20078 Naranjo;Custeio;Gêneros alimentícios;936,00;2026-02-09
2026-02-05;Guia imposto;Custeio;Infraestrutura de imóvel;154,00;2026-02-09
2026-02-05;NFE20958 Vilma 3REmbalagens;Custeio;Copa e Cozinha;212,80;2026-02-06
