Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2025-07-01;CONTA ÁGUA E ESGOTO;Custeio;Água e Esgoto;33,32;2025-07-01
2025-07-01;SAT 480503;Custeio;Combustível;227,45;2025-07-01
2025-07-01;CPFL;Custeio;Energia Elétrica;15,55;2025-07-01
2025-07-01;NOTA FISCAL 171;Terceiros;Outros;4.791,20;2025-07-01
2025-07-01;CPFL;Custeio;Energia Elétrica;15,01;2025-07-01
2025-07-01;BOLETO ALUGUEL;Custeio;Aluguel de Imóvel;6.668,83;2025-07-04
2025-07-01;BOLETO ALUGUEL;Custeio;Aluguel de Imóvel;6.948,28;2025-07-04
2025-07-01;NOTA FISCAL VIVO;Custeio;Internet;67,41;2025-07-11
2025-07-01;NOTA FISCAL VIVO;Custeio;Internet;46,44;2025-07-11
2025-07-01;NOTA FISCAL VIVO;Custeio;Internet;152,29;2025-07-14
2025-07-01;CONTA ÁGUA E ESGOTO;Custeio;Água e Esgoto;38,71;2025-07-01
2025-07-02;NOTA FISCAL 20;Terceiros;Outros;4.800,00;2025-07-04
2025-07-02;NOTA FISCAL 001;Terceiros;Outros;4.000,00;2025-07-08
2025-07-03;NOTA FISCAL 46;Terceiros;Outros;1.150,00;2025-07-03
2025-07-03;NOTA FISCAL 44;Terceiros;Outros;1.250,00;2025-07-03
2025-07-03;RECIBO ALUGUEL;Custeio;Aluguel de Imóvel;7.000,00;2025-07-04
2025-07-03;NOTA FISCAL 45;Terceiros;Outros;1.050,00;2025-07-03
2025-07-03;NOTA FISCAL 43;Terceiros;Outros;1.250,00;2025-07-03
2025-07-04;NOTA FISCAL 16405;Custeio;Infraestrutura de imóvel;930,00;2025-07-04
2025-07-04;NOTA FISCAL 16051;Custeio;Infraestrutura de imóvel;1.422,30;2025-07-04
2025-07-04;NOTA FISCAL 174;Terceiros;Outros;4.812,40;2025-07-04
2025-07-04;NOTA FISCAL 173;Terceiros;Outros;10.600,00;2025-07-05
2025-07-04;NOTA FISCAL 1281;Custeio;Infraestrutura de imóvel;1.399,29;2025-07-04
2025-07-04;IR ALUGUEL;Custeio;Imposto de Renda s/ Aluguel;1.051,72;2025-07-04
2025-07-04;IR ALUGUEL;Custeio;Imposto de Renda s/ Aluguel;1.016,27;2025-07-04
2025-07-04;RECIBO ALUGUEL;Custeio;Aluguel de Imóvel;7.000,00;2025-07-07
2025-07-07;NOTA FISCAL 284;Custeio;Materiais para Escritório;580,00;2025-07-08
2025-07-08;NOTA FISCAL 178;Terceiros;Outros;4.982,00;2025-07-08
2025-07-08;NOTA FISCAL 16064;Custeio;Infraestrutura de imóvel;520,10;2025-07-08
2025-07-08;NOTA FISCAL 177;Terceiros;Outros;4.346,00;2025-07-08
2025-07-10;RECIBO ALUGUEL;Custeio;Aluguel de Imóvel;8.143,50;2025-07-10
2025-07-10;RECIBO ALUGUEL;Custeio;Aluguel de Imóvel;7.750,00;2025-07-10
2025-07-10;RECIBO ALUGUEL;Custeio;Aluguel de Imóvel;7.750,00;2025-07-10
2025-07-10;NOTA FISCAL 50;Terceiros;Outros;2.200,00;2025-07-10
2025-07-10;NOTA FISCAL 49;Terceiros;Outros;4.200,00;2025-07-10
2025-07-10;NOTA FISCAL 48;Terceiros;Outros;1.800,00;2025-07-10
2025-07-10;NOTA FISCAL 180;Terceiros;Outros;4.664,00;2025-07-11
2025-07-11;FGTS;Recursos Humanos;GRF-FGTS;5.856,43;2025-07-11
2025-07-11;NOTA FISCAL 16081;Custeio;Infraestrutura de imóvel;4.148,85;2025-07-11
2025-07-11;DARF INSS ;Recursos Humanos;GPS-INSS;7.554,99;2025-07-11
2025-07-11;NOTA FISCAL 11508;Custeio;Infraestrutura de imóvel;945,60;2025-07-11
2025-07-14;ENEL;Custeio;Energia Elétrica;85,26;2025-07-22
2025-07-14;ENEL;Custeio;Energia Elétrica;69,85;2025-07-22
